id_Uni,CleeUni,Nombre_de_la_Unidad_Economica,Razon_social,Nombre_de_clase_de_la_actividad,Descripcion_estrato_personal_ocupado,Nombre_de_la_vialidad,Numero_exterior_o_kilometro,Letra_exterior,Nombre_de_asentamiento_humano,Codigo_postal,Entidad_federetiva,Municipio,Localidad,Numero_de_telefono,Correo_electronico,Sitio_en_Internet,Latitud,Longitud,Fecha_de_incorporacion_al_denue
10320433,19026436112000633000000000U9,AM MONTACARGAS,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",11 a 30 personas,ALDAMA,0,SN,CENTRO,67100,NUEVO LEÓN   ,Guadalupe,Guadalupe,8129244289,JC.SANCHEZ@ACEROMONTACARGAS.COM,,25.6752948,-100.2550837,2024-11
11565180,19026436112000521000000000U6,AMARO TRASMISIONES,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,DEL YUGO,0,SN,VILLA DE SAN MIGUEL,67110,NUEVO LEÓN   ,Guadalupe,Guadalupe,8117621286,AMARO82CRIS@GMAIL.COM,,25.70779737,-100.2114957,2024-11
9550715,19026436112000582000000000U8,AMORTIGUADORES GOVI SUSPENSION AUTOMOTRIZ,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,ELOY CAVAZOS,0,SN,CERRO VERDE,67183,NUEVO LEÓN   ,Guadalupe,Guadalupe,,,GROB.MXCATALOGUE,25.65230734,-100.2013908,2024-11
9238964,19039436112001383000000000S3,ARGOVI REFACCIONARIA,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,ADOLFO RUIZ CORTINES,504,,BELLA VISTA,64410,NUEVO LEÓN   ,Monterrey,Monterrey,,RUIZCORTINES@ARGOVI.COM,,25.70410095,-100.31779,2020-04
9030399,19026436112000252000000000S8,ARGOVI REFACCIONARIAS,ARGOVI REFACCIONARIAS SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,GENERAL LAZARO CARDENAS,510,,IGNACIO ZARAGOZA,67160,NUEVO LEÓN   ,Guadalupe,Guadalupe,,,ARGOVI.COM,25.68524916,-100.2301247,2019-11
2972933,19039436112000481001000000M6,ARMONIA MECANICA,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",11 a 30 personas,VICENTE GUERRERO,1625,,TREVIÑO,64510,NUEVO LEÓN   ,Monterrey,Monterrey,8183721244,AUTOCENTERGUERRERO@ALESTRA.NET.MX,,25.69037271,-100.3113708,2014-12
9884199,19046436112000391000000000U2,ARREGLOS DE SALON,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CUAUHTEMOC,410,,CENTRO,66400,NUEVO LEÓN   ,San Nicolás de los Garza,San Nicolás de los Garza,,,WWW.ARGOVI.MX,25.75705111,-100.2956506,2024-11
3029488,19039436112000672001000000U0,AUTO TRACK DE LA GARZA,DE LA GARZA TIRES SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,ALAMO,3230,,MODERNA,64530,NUEVO LEÓN   ,Monterrey,Monterrey,,ARTUROLLANTAX@HOTMAIL.COM,,25.70360684,-100.2911356,2010-07
9346576,19026436112000432000000000U6,AUTOMEX OEM,AUTOMEX OEM SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,AMERICA DEL NORTE,111,,LAS AMERICAS,67120,NUEVO LEÓN   ,Guadalupe,Guadalupe,,MICHAPA@AUTOMEXOEM.COM,,25.7013187,-100.2412287,2021-05
11271979,19039436112001651000000000S3,AUTOPARTES,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,INGENIERO FRANCISCO BELTRAN,3005,A,ARGENTINA,64550,NUEVO LEÓN   ,Monterrey,Monterrey,,,,25.69154661,-100.2838963,2024-11
10872189,19039436111000321000000000U6,AUTOPARTES CALDERON,,Comercio al por mayor de camiones,0 a 5 personas,HELIODORO PEREZ,0,SN,ARGENTINA,64550,NUEVO LEÓN   ,Monterrey,Monterrey,8116799640,X_X.SNY@HOTMAIL.COM,,25.69032125,-100.2871659,2024-11
9627485,19039436112001611000000000U7,AUTOPARTES EL ROI,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CANANEA,1219,,PABLO A DE LA GARZA,64580,NUEVO LEÓN   ,Monterrey,Monterrey,8119536848,PEPESANDOVAL527@GMAIL.COM,,25.6843873,-100.2895064,2024-11
8642410,19039436112000863000000000U5,AUTOPARTES HOCAR IMPORTS,HOCAR IMPORTS SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",11 a 30 personas,FRANCISCO MARQUEZ,710,,OBRERA,64010,NUEVO LEÓN   ,Monterrey,Monterrey,,DANIELA.R@HOCAR.COM.MX,,25.67919145,-100.2904857,2019-11
3033432,19039436112000343000000000U8,AUTOPARTES MALDONADO,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,MANUEL MARIA DEL LLANO,1928,,OBRERA,64010,NUEVO LEÓN   ,Monterrey,Monterrey,8183442000,ADMON04@GMAIL.COM,,25.67678884,-100.296473,2010-07
8894481,19039436112001231000000000U4,AUTOPARTES PONCE,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,ABRAHAM LINCOLN,5602,,VALLE VERDE,64360,NUEVO LEÓN   ,Monterrey,Monterrey,,GERAXM@HOTMAIL.COM,,25.73218073,-100.3723216,2019-11
6725228,19039436112000761000000000U1,AUTOPARTES PONCE REFACCIONARIA,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,PENITENCIARIA,2223,,FERROCARRILERA,64250,NUEVO LEÓN   ,Monterrey,Monterrey,8112135405,,,25.72406204,-100.3390397,2016-01
2977728,19046436112000113001000000U0,AUTOPARTES REMA,AUTOPARTES REMA DEL NORTE SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",51 a 100 personas,LINEA DE GAS,220,,CONSTITUYENTES DE QUERETARO SECT 6,,NUEVO LEÓN   ,San Nicolás de los Garza,San Nicolás de los Garza,,GERENCIA@ASAFINPRESIONES.COM,,25.70950168,-100.2750044,2014-12
10613012,19031436112000021000000000U7,AUTOPARTES SANCHES,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CARRETERA A SAN ROQUE,0,SN,LOS REYES,67257,NUEVO LEÓN   ,Juárez,Ciudad Benito Juárez,,,,25.64453656,-100.1481704,2024-11
3024837,19039468211004712001000000U1,AUTOPARTES Y AA,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,OSCAR F CASTILLO,111,,LOMAS,64030,NUEVO LEÓN   ,Monterrey,Monterrey,8183469626,,,25.68102249,-100.3502002,2010-07
3007280,19039531119000241010020693S3,AUTOPARTES Y COMPONENTES,AUTOPARTES Y COMPONENTES SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,PROFESOR JESÚS MORELOS,5515,,DEL MAESTRO,,NUEVO LEÓN   ,Monterrey,Monterrey,,REFACCIONES.MONTERREY@AYCO.COM.MX,,25.72284653,-100.3542811,2014-12
8288095,19039436112001011000000000U0,AUTOPARTES ZUÑIGA,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,PABLO A DE LA GARZA,1626,,MARTINEZ,64550,NUEVO LEÓN   ,Monterrey,Monterrey,8118161614,,,25.68792097,-100.2874779,2019-11
6370360,19046468213000245000010014S7,AUTO-TODO MEXICANA,AUTO TODO MEXICANA SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",51 a 100 personas,LICENCIADO ADOLFO LÓPEZ MATEOS,220,,VALLE DEL NOGALAR,,NUEVO LEÓN   ,San Nicolás de los Garza,San Nicolás de los Garza,,,,25.71059908,-100.2785323,2010-07
11260218,19010436112000031000000000U0,AUTOTSURU,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,ARCO DEL TRIUNFO,0,SN,SAUZAL,66580,NUEVO LEÓN   ,El Carmen,Villas del Arco,,,,25.85240851,-100.3049825,2024-11
9833879,19039436112001521000000000S8,AXPARTS,AXPARTS SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,SEGUNDA VIDRIERA,1203,,CANTU,64550,NUEVO LEÓN   ,Monterrey,Monterrey,,,WWW.AXPARTSMONTACARGAS.COM,25.6914793,-100.3003547,2024-11
10612669,19039436112001593000000000U7,AXPARTS,AXPARTS SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",11 a 30 personas,SEGUNDA VIDRIERA,1208,,1 DE MAYO,64550,NUEVO LEÓN   ,Monterrey,Monterrey,,ADMINISTRACION@AXPARTSMONTACARAS.COM,WWW.APARTSMONTACARGAS.COM,25.69138829,-100.3003259,2024-11
10588861,19039436112001742000000000S0,BALATAS REGIOMONTANAS,ALMACEN DE MAYOREO JAASS SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,CRISTOBAL COLON,3208,,ACERO,64580,NUEVO LEÓN   ,Monterrey,Monterrey,8183524070,BALATASREGIOMONTANAS@HOTMAIL.COM,,25.68381235,-100.2816461,2024-11
11532165,19039436112001551000000000U5,BATERIAS DR,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,RODRIGO GOMEZ,335,,CENTRAL,64190,NUEVO LEÓN   ,Monterrey,Monterrey,8128855900,,,25.70780591,-100.3422711,2024-11
6368238,19039436112000373001000000U5,BATTERY MASTER,SOLUCIONES EN BATERIAS S DE RL DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",51 a 100 personas,CHURUBUSCO,1600,,PARQUE INDUSTRIAL REGIOMONTANO,,NUEVO LEÓN   ,Monterrey,Monterrey,,ADMON@VINCENT-GROUP.COM,WWW.BATTERY.MASTER.COM,25.68882615,-100.2685753,2010-07
8288482,19039436112001031000000000U8,BMW USEDMONTERREY,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,ANASTASIO BUSTAMANTE,1132,,BELLA VISTA,64410,NUEVO LEÓN   ,Monterrey,Monterrey,,,,25.69931214,-100.3246596,2019-11
10475312,19006436112000311000000000S4,BODEGA,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,LOMAS DE URUGUAY,106,,LOMAS DE LA PAZ,66647,NUEVO LEÓN   ,Apodaca,Loma la Paz,8117720315,,,25.71296669,-100.136722,2024-11
8649095,19039436112001251000000000U2,BODEGA AUREN MONTERREY SC,AUREN MONTERREY SC DE RL,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,JUAN ESCUTIA,830,,OBRERA,64010,NUEVO LEÓN   ,Monterrey,Monterrey,,,,25.68071162,-100.2943495,2019-11
8795360,19026435220000591000000000S1,BODEGA AUXILIAR,INDUSTRIAL PACKAGING SERVICES INTERNACIONAL SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,COMUNICACIONES,1600,,SCOP,67198,NUEVO LEÓN   ,Guadalupe,Guadalupe,,EDUARDO.GARCIA@IPSINTERNALONL.MX,,25.65720801,-100.1984207,2019-11
11325449,19039436112001531000000000U7,BODEGA DE BANDAS Y HULES,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,PANALERO,100,,MIRASOL,64102,NUEVO LEÓN   ,Monterrey,Monterrey,,,,25.76324464,-100.3918042,2024-11
9313327,19021436111000081000000000U4,BODEGA DE TREMOSA,,Comercio al por mayor de camiones,0 a 5 personas,UNIDAD DEPORTIVA,,SN,PORTAL DEL FRAILE,66064,NUEVO LEÓN   ,General Escobedo,Ciudad General Escobedo,,,,25.80175473,-100.4125919,2020-11
9712601,19039436111000281000000000S2,BODEGA O ALMACEN DE AUTOPARTES,,Comercio al por mayor de camiones,0 a 5 personas,EMILIANO ZAPATA,2801,,ARGENTINA,64550,NUEVO LEÓN   ,Monterrey,Monterrey,,,,25.68954568,-100.2859048,2024-11
8794670,19006436112000151000000000S4,BODEGA RAFACCIONARIA VILLARREAL,REFACCIONARIA CASA VILLAREAL SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,CAMINO VECINAL AL MILAGRO,200,,EL MILAGRO,66634,NUEVO LEÓN   ,Apodaca,Ciudad Apodaca,,,,25.74844766,-100.1953123,2019-11
6446403,19019436112000041001000000U0,BRIDGESTONE  CENTRO DE DISTRIBUCION RAGA,CENTRO DE DISTRIBUCION RAGA SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",11 a 30 personas,SANTA BARBARA,121,,CENTRO,66230,NUEVO LEÓN   ,San Pedro Garza García,San Pedro Garza García,8186758190,VALLE@RAGA.COM.MX,WWW.RAGA.COM.MX,25.65917463,-100.3936824,2014-12
8533030,19039436112000851000000000U0,BW&R DE MEXICO SA DE CV,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,ADOLFO RUIZ CORTINES,2904,,MODERNA,64530,NUEVO LEÓN   ,Monterrey,Monterrey,,INFO@ENICLEAN.COM.MX,,25.70349243,-100.2814059,2019-11
11442683,19021436111000103000000000U6,CARROCERIAS Y TALLER OYCA,,Comercio al por mayor de camiones,11 a 30 personas,JOSE MARIA MORELOS,,SN,LOS ALTOS,66052,NUEVO LEÓN   ,General Escobedo,Ciudad General Escobedo,,,CARROCERIASOYCA.COM.MX,25.79553376,-100.2855375,2024-11
3034433,19039468420000641010000000U3,CAVAZOS REFACCIONES,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,2 DE ABRIL JESUS DIONISIO GONZALEZ,1395,,NUEVO REPUEBLO,64700,NUEVO LEÓN   ,Monterrey,Monterrey,,CAVAZOS_REFACCIONES@HOTMAIL.COM,,25.65759459,-100.3039804,2010-07
10560121,19039436112001781000000000U8,CENTRAL DIESEL,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,MIGUEL DOMINGUEZ,21,,INDUSTRIAL,64000,NUEVO LEÓN   ,Monterrey,Monterrey,,,,25.68730462,-100.3222418,2024-11
2940943,19047436111000011000000000U6,CENTRO REMOLQUERO DEL NORTE,CENTRO REMOLQUERO DEL NORTE SA DE CV,Comercio al por mayor de camiones,0 a 5 personas,A MONCLOVA,413,,SAN MARTIN,65600,NUEVO LEÓN   ,Hidalgo,Hidalgo,8292860638,CENTROREMOLQUERO@GMAIL.COM,,25.98999913,-100.4570989,2014-12
9715554,19039436112001562000000000U2,COMERCIAL DE REFACCIONES GARO,COMERCIAL DE REFACCIONES GARO SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,PINO SUAREZ,2842,,BELLA VISTA,64410,NUEVO LEÓN   ,Monterrey,Monterrey,,,,25.70177202,-100.3179903,2024-11
10967424,19021436111000121000000000M8,COMERCIAL HT,CONERCIAL HT SA DE CV,Comercio al por mayor de camiones,0 a 5 personas,BENITO JUAREZ,105,A,LAZARO CATDENAS,66058,NUEVO LEÓN   ,General Escobedo,Ciudad General Escobedo,8183845700,,,25.78215794,-100.2958018,2024-11
2967225,19039436112000451001000000U9,COMERCIAL ORDIZIA,COMERCIAL ORDIZIA  SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,FELIPE GUERRA CASTRO,3522,,NIÑO ARTILLERO,64280,NUEVO LEÓN   ,Monterrey,Monterrey,8183319004,ADMINISTRACION@TOBYMAN.COM,WWW.TOBYMAN.COM.MX,25.70893582,-100.3263877,2014-12
9041361,19026436112000273000060162S4,COMERCIAL ROSHFRANS,COMERCIAL ROSHFRANS SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",11 a 30 personas,ADOLFO LOPEZ MATEOS,221,,VILLA DE SAN MIGUEL,67110,NUEVO LEÓN   ,Guadalupe,Guadalupe,,ASPEDDRO@ROSHFRANS.COM,,25.70582376,-100.215859,2019-11
2926626,19039467111000651010000000U8,COMERCIALIZADORA MUELLES Y SUSPENSIONES,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,JAIME NUNO,696,,DEL NORTE,64500,NUEVO LEÓN   ,Monterrey,Monterrey,,FACTURACION@MUELLESTAMEZ.COM.MX,,25.71262188,-100.3037126,2010-07
9456888,19038436111000023000057686S0,COMERCIALIZADORA SAN GERMAN,COMERCIALIZADORA SAN GERMAN SA DE CV,Comercio al por mayor de camiones,11 a 30 personas,MELCHOR OCAMPO,222,,LOMA PRIETA,,NUEVO LEÓN   ,Montemorelos,Loma Prieta                                                                                                   ,,HEVER.GOMEZ@FLIZA.MX,,25.25814184,-99.99469122,2023-11
10645552,19039436111000341000000000U4,COMERCIO AL POR MAYOR DE CAMIONES SIN NOMBRE,,Comercio al por mayor de camiones,0 a 5 personas,NUEVA ROSITA,1579,,FABRILES,64560,NUEVO LEÓN   ,Monterrey,Monterrey,8126866813,ALATORRE.REFACCIONES@GMAIL.COM,,25.68727027,-100.2851841,2024-11
10838890,19038436112000041000000000U0,"COMERCIO AL POR MAYOR DE PARTES Y REFACCIONES NUEVAS PARA AUTOMÓVILES, CAMIONETAS Y CAMIONES",EZEQUIEL ALCOCER ,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,JIMENEZ,308,,ZARAGOZA,67530,NUEVO LEÓN   ,Montemorelos,Montemorelos,,EZEQUIELALCOCER@GMAIL.COM,,25.1884183,-99.84296983,2024-11
8753197,19039436112001161000000000U3,"COMERCIO AL POR MAYOR DE PARTES Y REFACCIONES NUEVAS PARA AUTOMÓVILES, CAMIONETAS Y CAMIONES",TERESITA VAZQUEZ NAVARRO ,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,MELCHOR MUZQUIZ,2413,,TALLERES,64420,NUEVO LEÓN   ,Monterrey,Monterrey,,,,25.69266497,-100.3359673,2019-11
11535979,19039436112001681000000000U0,"COMERCIO AL POR MAYOR DE PARTES Y REFACCIONES NUEVAS PARA AUTOMÓVILES, CAMIONETAS Y CAMIONES",DAVID MARTINEZ RODRIGUEZ ,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,MAGNOLIA,1604,,REFORMA,64550,NUEVO LEÓN   ,Monterrey,Monterrey,8116073884,DMTZRDZ@GMAIL.COM,,25.69423113,-100.2973055,2024-11
9046617,19004436111000051000000000U3,COMPRA VENTA DE TRACTO CAMIONES,,Comercio al por mayor de camiones,0 a 5 personas,CARRETERA NACIONAL,0,SN,SECCION BENITO JUAREZ,67350,NUEVO LEÓN   ,Allende,Ciudad de Allende,8262610825,,,25.28651686,-100.0319026,2019-11
10721185,19026436112000611000000000U5,COMPRA Y REPARACION DE VEHICULOS,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,LA LUZ,301,B,LA LUZ,67120,NUEVO LEÓN   ,Guadalupe,Guadalupe,,,,25.70447761,-100.2438992,2024-11
8441096,19039436111000201000000000S0,COMPRA Y VENTA DE REFACCIONES PARA TRACTO CAMIONES,,Comercio al por mayor de camiones,0 a 5 personas,EMILIANO ZAPATA,1854,,NUEVA MADERO,64560,NUEVO LEÓN   ,Monterrey,Monterrey,,,,25.68954643,-100.2767853,2019-11
10521838,19004436111000101000009033S6,CONCESIONARIO DE CAMIONES DIFRENOSA,DIFRENOSA SA DE CV,Comercio al por mayor de camiones,0 a 5 personas,CARRETERA NACIONAL,0,SN,ALTAMIRA,67350,NUEVO LEÓN   ,Allende,Ciudad de Allende,8196901030,,,25.2886404,-100.0414113,2024-11
9030625,19026436112000262000000000U7,CONSORCIO DE AUTO PARTES MTY,CONSORCIO DE AUTO PARTES MTY SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,ADOLFO RUIZ CORTINES,0,SN,LA PURISIMA,67129,NUEVO LEÓN   ,Guadalupe,Guadalupe,,,,25.70290898,-100.2325372,2019-11
8970337,19039436112000901000000000S3,CORPORATIVO AUTO REFACCIONES DE CALIDAD,CORPORATIVO AUTO REFACCIONES DE CALIDAD SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,PROLONGACION MADERO,4080,,CHURUBUSCO,64590,NUEVO LEÓN   ,Monterrey,Monterrey,,ADMINISTRACION.MTY@ARCACORP.COM.MX,WWW.ARCACORP.COM.MX,25.68530345,-100.2694841,2019-11
6859747,19004436111000043000000000U0,CORPORATIVO REMOLQUES Y THERMOS,CORPORATIVO REMOLQUES Y THERMOS SA DE CV,Comercio al por mayor de camiones,11 a 30 personas,CARRETERA NACIONAL,,SN,LAZARILLOS DE ABAJO,67350,NUEVO LEÓN   ,Allende,Lazarillos de Abajo,,REMOLQUESYTERMOS@PRODIGY.NET.MX,WWW.REMOLQUESYTHERMOS.MX,25.32054076,-100.0521751,2019-04
2963546,19039468211006023010000000U1,CR COMERCIAL DE REFACCIONES,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",11 a 30 personas,ADOLFO RUIZ CORTINES,0,SN,BELLA VISTA,64410,NUEVO LEÓN   ,Monterrey,Monterrey,,CONTACTO@CRMTY.COM,CRMTY.MX,25.70421662,-100.3191999,2014-12
9445418,19026436112000452000000000U4,CR3 SUPPLY,CR3 SUPPLY SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,SIN REFERENCIA,230,,LOS LERMAS,67188,NUEVO LEÓN   ,Guadalupe,Guadalupe,,,,25.68070749,-100.198205,2023-11
8970381,19039468211008855000051426S4,CRAAESA REFACCIONARIA,COMERCIALIZADORA DE REFACCIONES ALEMANAS Y EUROPEAS SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",51 a 100 personas,CRISTÓBAL COLÓN,2832,,ACERO,64580,NUEVO LEÓN   ,Monterrey,Monterrey,,CONCRAESA@GMAIL.COM,WWW.CRAESAREFACCIONES.COM,25.68205611,-100.2769856,2019-11
8745812,19026436112000341000051426S9,CRAAESA REFACCIONARIA,COMERCIALIZADORA DE REFACCIONES ALEMANAS Y EUROPEAS SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,ELOY CAVAZOS,4100,,23 DE NOVIEMBRE,67182,NUEVO LEÓN   ,Guadalupe,Guadalupe,,CEDIS.CRAESA@GMAIL.COM,,25.65672832,-100.2192524,2019-11
